PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Michael Thomas;WR;NO;-;-;-;-9;149;1725;9;-;-;-;1;298.10;1
Chris Godwin;WR;TB;-;-;-;8;86;1333;9;-;-;1;-;239.10;2
Julio Jones;WR;ATL;-;-;-;-3;99;1394;6;-;-;-;1;225.60;3
Kenny Golladay;WR;DET;-;-;-;-;65;1190;11;-;-;-;1;220.50;4
Cooper Kupp;WR;LA;-;-;-;4;94;1161;10;-;-;-;3;220.50;5
DeAndre Hopkins;WR;ARI;6;1;1;18;104;1165;7;-;-;1;-;217.54;6
Keenan Allen;WR;LAC;-;-;-;16;104;1199;6;-;-;-;-;212.50;7
DeVante Parker;WR;MIA;-;-;-;-;72;1202;9;-;-;-;-;212.20;8
Allen Robinson;WR;CHI;-;-;-;2;98;1147;7;-;-;-;-;206.90;9
Julian Edelman;WR;NE;47;1;-;27;100;1117;6;-;-;1;3;203.28;10
Mike Evans;WR;TB;-;-;-;-;67;1157;8;-;-;1;-;203.20;11
Jarvis Landry;WR;CLE;-;-;-;10;83;1174;6;-;-;-;-;197.90;12
Tyler Lockett;WR;SEA;-;-;-;-5;82;1057;8;-;-;-;1;192.20;13
D.J. Moore;WR;CAR;-;-;-;40;87;1175;4;-;-;-;2;191.00;14
Robert Woods;WR;LA;-;-;-;115;90;1134;2;-;-;-;-;190.40;15
D.J. Chark;WR;JAX;-;-;-;20;73;1008;8;-;-;1;-;190.30;16
A.J. Brown;WR;TEN;-;-;-;60;52;1051;8;-;-;-;1;190.10;17
John Brown;WR;BUF;28;1;-;7;72;1060;6;-;-;-;-;187.82;18
Courtland Sutton;WR;DEN;38;-;-;17;72;1112;6;-;-;-;2;185.49;19
Tyler Boyd;WR;CIN;-;-;-;23;90;1046;5;-;-;-;2;180.90;20
Stefon Diggs;WR;BUF;-;-;-;61;63;1130;6;-;-;-;4;180.60;21
Michael Gallup;WR;DAL;-;-;-;-;66;1107;6;-;-;-;-;179.70;22
Davante Adams;WR;GB;-;-;-;-;83;997;5;-;-;1;2;170.20;23
Calvin Ridley;WR;ATL;-;-;-;34;63;866;7;-;-;1;-;166.50;24
Odell Beckham;WR;CLE;20;-;-;10;74;1035;4;-;-;-;1;166.30;25
Marvin Jones;WR;DET;-;-;-;-;62;779;9;-;-;-;-;165.90;26
Terry McLaurin;WR;WAS;-;-;-;-;58;919;7;-;-;-;-;165.90;27
Jamison Crowder;WR;NYJ;-;-;-;4;78;833;6;-;-;-;-;165.70;28
Deebo Samuel;WR;SF;-;-;-;159;57;802;3;-;-;1;2;161.60;29
Tyreek Hill;WR;KC;-;-;-;23;58;860;7;-;-;-;-;160.30;30
DK Metcalf;WR;SEA;-;-;-;11;58;900;7;-;-;1;3;159.10;31
Emmanuel Sanders;WR;NO;35;1;-;-;66;869;5;-;-;1;-;158.30;32
Curtis Samuel;WR;CAR;-;-;-;130;54;627;6;-;-;-;-;151.70;33
Cole Beasley;WR;BUF;-;-;-;-;67;778;6;-;-;2;-;151.30;34
Darius Slayton;WR;NYG;-;-;-;-;48;740;8;-;-;-;-;149.00;35
Larry Fitzgerald;WR;ARI;-;-;-;-;75;804;4;-;-;-;1;140.90;36
Mike Williams;WR;LAC;-;-;-;2;49;1001;2;-;-;-;-;139.30;37
Robby Anderson;WR;CAR;-;-;-;4;52;779;5;-;-;1;1;137.30;38
Christian Kirk;WR;ARI;-;-;-;93;68;709;3;-;-;1;-;135.20;39
Chris Conley;WR;JAX;-;-;-;-;47;775;5;-;-;1;-;134.00;40
Randall Cobb;WR;HOU;-;-;-;11;55;828;3;-;-;-;2;132.40;41
Dede Westbrook;WR;JAX;-;-;-;27;66;660;3;-;-;2;1;129.20;42
Golden Tate;WR;NYG;-;-;-;16;49;676;6;-;-;-;1;128.70;43
Diontae Johnson;WR;PIT;-;-;-;41;59;680;5;1;-;-;5;128.60;44
Zach Pascal;WR;IND;-;-;-;16;41;607;5;-;-;1;-;126.30;45
Marquise Brown;WR;BAL;-;-;-;-;46;584;7;-;-;-;-;123.40;46
Breshad Perriman;WR;NYJ;-;-;-;16;36;645;6;-;-;-;-;123.10;47
Tyrell Williams;WR;LV;-;-;-;-;42;651;6;-;-;-;-;122.10;48
Sterling Shepard;WR;NYG;-;-;-;72;57;576;3;-;-;1;-;115.30;49
James Washington;WR;PIT;-;-;-;-;44;735;3;-;-;-;1;113.50;50
Sammy Watkins;WR;KC;-;-;-;12;52;673;3;-;-;1;2;111.50;51
Danny Amendola;WR;DET;19;1;-;-;62;678;1;-;-;-;-;109.56;52
Anthony Miller;WR;CHI;-;-;-;-1;52;656;2;-;-;-;1;109.50;53
Mecole Hardman;WR;KC;-;-;-;17;26;538;6;1;-;-;2;108.50;54
Will Fuller;WR;HOU;-;-;-;-;49;670;3;-;-;-;1;107.50;55
Hunter Renfrow;WR;LV;-;-;-;-;49;605;4;-;-;-;1;107.00;56
T.Y. Hilton;WR;IND;-;-;-;-;45;501;5;-;-;-;-;103.60;57
Alshon Jeffery;WR;PHI;-;-;-;2;43;490;4;-;-;-;-;101.70;58
Kenny Stills;WR;HOU;-;-;-;-;40;561;4;-;-;-;-;101.10;59
Adam Thielen;WR;MIN;-;-;-;6;30;418;6;-;-;-;-;100.40;60
JuJu Smith-Schuster;WR;PIT;-;-;-;-;42;552;3;-;-;-;1;99.20;61
Mohamed Sanu;WR;NE;-;-;-;11;59;520;2;-;-;-;-;98.60;62
Brandin Cooks;WR;HOU;-;-;-;52;42;583;2;-;-;-;-;97.50;63
Corey Davis;WR;TEN;-;-;-;-;43;601;2;-;-;-;1;92.60;64
Steven Sims;WR;WAS;-;-;-;85;34;310;4;1;-;-;1;90.50;65
Allen Lazard;WR;GB;-;-;-;21;35;477;3;-;-;-;-;90.30;66
Demarcus Robinson;WR;KC;-;-;-;-;32;449;4;-;-;-;-;86.90;67
Phillip Dorsett;WR;SEA;-;-;-;21;29;397;5;-;-;-;-;86.30;68
Kendrick Bourne;WR;SF;-;-;-;-;30;358;5;-;-;1;-;84.80;69
John Ross;WR;CIN;-;-;-;4;28;506;3;-;-;-;1;82.00;70
Auden Tate;WR;CIN;-;-;-;-;40;575;1;-;-;-;1;81.50;71
Willie Snead;WR;BAL;-;-;-;2;31;339;5;-;-;-;-;80.60;72
Russell Gage;WR;ATL;-;-;-;12;49;446;1;-;-;-;1;76.30;73
Preston Williams;WR;MIA;-;-;-;-;32;428;3;-;-;-;2;74.80;74
Alex Erickson;WR;CIN;26;-;-;33;43;529;-;-;-;-;4;73.74;75
Nelson Agholor;WR;LV;-;-;-;7;39;363;3;-;-;1;2;73.50;76
Marquez Valdes-Scantling;WR;GB;-;-;-;9;26;452;2;-;-;-;-;72.10;77
Ted Ginn;WR;CHI;-;-;-;18;30;421;2;-;-;-;-;70.90;78
Allen Hurns;WR;MIA;-;-;-;-;32;416;2;-;-;-;1;69.60;79
Tajae Sharpe;WR;MIN;-;-;-;-;25;329;4;-;-;-;-;69.40;80
Albert Wilson;WR;MIA;20;-;-;45;43;351;1;-;-;-;-;67.90;81
Adam Humphries;WR;TEN;-;-;-;1;37;374;2;-;-;-;1;66.00;82
Bisi Johnson;WR;MIN;-;-;-;6;31;294;3;-;-;-;-;64.50;83
Tre'Quan Smith;WR;NO;-;-;-;-;18;234;5;-;-;-;-;63.40;84
Geronimo Allison;WR;DET;-;-;-;7;34;287;2;-;-;1;2;58.90;85
Kelvin Harmon;WR;WAS;11;-;-;-;30;365;-;-;-;-;-;57.94;86
Damiere Byrd;WR;NE;-;-;-;-;32;359;1;-;-;-;1;56.90;87
Cody Latimer;WR;WAS;-;-;-;-;24;300;2;-;-;-;-;55.50;88
Josh Reynolds;WR;LA;-;-;-;23;21;326;1;-;-;-;-;53.40;89
DaeSean Hamilton;WR;DEN;-;-;-;-;28;297;1;-;-;-;-;50.70;90
Isaiah McKenzie;WR;BUF;-;-;-;49;27;254;1;-;-;-;-;49.80;91
Seth Roberts;WR;CAR;-;-;-;-;21;271;2;-;-;-;-;49.60;92
Jakobi Meyers;WR;NE;-;-;-;-;26;359;-;-;-;-;-;48.90;93
Greg Ward;WR;PHI;-;-;-;5;28;254;1;-;-;-;-;45.90;94
Vyncint Smith;WR;NYJ;-;-;-;52;17;225;-;-;-;-;1;44.63;95
Pharoh Cooper;WR;CAR;-;-;-;2;25;243;1;-;-;-;-;44.50;96
Miles Boykin;WR;BAL;-;-;-;-;13;198;3;-;-;-;-;44.30;97
Keke Coutee;WR;HOU;-;-;-;14;22;254;-;-;-;-;1;43.80;98
Justin Watson;WR;TB;-;-;-;-;15;159;2;-;-;-;-;41.40;99
Trey Quinn;WR;WAS;-;-;-;-;26;198;1;-;-;1;1;39.80;100
Isaiah Ford;WR;MIA;-;-;-;11;23;244;-;-;-;-;-;38.00;101
Jakeem Grant;WR;MIA;-;-;-;5;19;164;-;1;-;-;2;37.40;102
Zay Jones;WR;LV;-;-;-;3;27;216;-;-;-;-;-;37.40;103
Marvin Hall;WR;DET;-;-;-;7;7;261;1;-;-;-;-;37.30;104
Jake Kumerow;WR;GB;-;-;-;-;12;219;1;-;-;-;-;36.90;105
Cordarrelle Patterson;WR;CHI;-;-;-;103;11;83;-;1;-;-;-;35.60;106
KeeSean Johnson;WR;ARI;-;-;-;3;21;187;1;-;-;1;1;35.50;107
Javon Wims;WR;CHI;-;-;-;-;18;186;1;-;-;-;-;34.60;108
Byron Pringle;WR;KC;-;-;-;-;12;170;1;-;-;-;-;34.50;109
Scott Miller;WR;TB;-;-;-;16;13;200;1;-;-;-;-;34.10;110
N'Keal Harry;WR;NE;-;-;-;49;12;105;2;-;-;-;-;33.40;111
Damion Ratley;WR;CLE;-;-;-;-;12;200;1;-;-;-;-;33.00;112
Andy Isabella;WR;ARI;-;-;-;15;9;189;1;-;-;-;-;32.90;113
DeSean Jackson;WR;PHI;-;-;-;-;9;159;2;-;-;-;-;32.40;114
Marquise Goodwin;WR;PHI;-;-;-;15;12;186;1;-;-;-;-;32.10;115
J.J. Arcega-Whiteside;WR;PHI;-;-;-;-;10;169;1;-;-;-;-;31.90;116
Tim Patrick;WR;DEN;-;-;-;-;16;218;-;-;-;-;-;31.30;117
Kalif Raymond;WR;TEN;-;-;-;-5;9;170;1;-;-;-;1;29.50;118
Dante Pettis;WR;SF;16;-;-;-;11;109;2;-;-;-;-;29.04;119
Laquon Treadwell;WR;ATL;-;-;-;-;9;184;1;-;-;-;-;28.90;120
Duke Williams;WR;BUF;-;-;-;-;12;166;1;-;-;-;-;28.60;121
Olamide Zaccheaus;WR;ATL;-;-;-;-;3;115;1;-;-;-;-;28.50;122
Richie James;WR;SF;-;-;-;-1;6;165;1;-;-;-;1;25.17;123
Parris Campbell;WR;IND;-;-;-;34;18;127;1;-;-;-;3;25.10;124
KhaDarel Hodge;WR;CLE;-;-;-;-;4;76;-;-;-;-;-;21.10;125
Mack Hollins;WR;MIA;-;-;-;-;10;125;-;-;-;-;-;20.00;126
Devin Smith;WR;DAL;-;-;-;-;5;113;1;-;-;-;-;19.80;127
Trent Sherfield;WR;ARI;-;-;-;-;4;80;-;-;-;-;-;19.00;128
Keelan Doss;WR;LV;-;-;-;-;11;133;-;-;-;-;-;18.80;129
Matthew Slater;WR;NE;-;-;-;-;-;-;-;-;-;-;-;18.50;130
DeAndre Carter;WR;HOU;-;-;-;-;11;162;-;-;-;-;2;17.70;131
Deon Cain;WR;PIT;-;-;-;-;9;124;-;-;-;-;-;16.90;132
Robert Foster;WR;BUF;-;-;-;29;3;64;-;-;-;-;-;15.80;133
Christian Blake;WR;ATL;-;-;-;-;11;91;-;-;-;-;-;15.60;134
Rico Gafford;WR;LV;-;-;-;-;2;66;1;-;-;-;-;14.60;135
Brandon Zylstra;WR;CAR;-;-;-;-;8;106;-;-;-;-;1;14.60;136
Andre Patton;WR;LAC;-;-;-;-;6;56;-;-;-;-;-;14.10;137
Braxton Berrios;WR;NYJ;-;-;-;-;6;115;-;-;-;-;1;14.00;138
Ventell Bryant;WR;DAL;-;-;-;-;1;15;1;-;-;-;-;14.00;139
Deonte Harris;WR;NO;-;-;-;31;6;24;-;1;-;-;3;13.50;140
DeAndrew White;WR;CAR;-;-;-;-;4;51;-;-;-;-;-;13.10;141
Damion Willis;WR;CIN;-;-;-;-;9;82;-;-;-;-;-;12.70;142
Marcell Ateman;WR;LV;-;-;-;-;5;116;-;-;-;-;1;12.10;143
Cody Core;WR;NYG;-;-;-;-;3;28;-;-;-;-;-;11.30;144
Tevin Jones;WR;DAL;-;-;-;-;4;61;-;-;-;-;-;11.10;145
Geremy Davis;WR;DET;-;-;-;-;3;38;-;-;-;-;-;10.30;146
Riley Ridley;WR;CHI;-;-;-;-;6;69;-;-;-;-;-;9.90;147
Ashton Dulin;WR;IND;-;-;-;-;2;17;-;-;-;-;-;9.70;148
Stanley Morgan;WR;CIN;-;-;-;-;3;18;-;-;-;-;-;7.80;149
Chris Lacy;WR;DET;-;-;-;-;3;60;-;-;-;-;-;7.50;150
Darius Jennings;WR;LAC;-;-;-;-;2;17;-;-;-;-;-;7.20;151
Ced Wilson;WR;DAL;-;-;-;-;5;46;-;-;-;-;-;7.10;152
Travis Benjamin;WR;SF;-;-;-;-;6;30;-;-;-;-;-;7.00;153
Da'Mari Scott;WR;NYG;-;-;-;5;2;22;-;-;-;-;-;6.70;154
Ryan Switzer;WR;PIT;-;-;-;-;8;27;-;-;-;-;1;6.70;155
Chris Moore;WR;BAL;-;-;-;-;3;21;-;-;-;-;-;6.60;156
Mike Thomas;WR;CIN;-;-;-;-;2;14;-;-;-;-;-;6.40;157
Jason Moore;WR;LAC;-;-;-;-;2;43;-;-;-;-;-;6.30;158
Deontay Burnett;WR;PHI;-;-;-;-;2;48;-;-;-;-;-;5.80;159
Alexander Hollins;WR;MIN;-;-;-;-;2;46;-;-;-;-;-;5.60;160
Fred Brown;WR;DEN;-;-;-;-;2;21;-;-;-;-;1;5.10;161
Josh Bellamy;WR;NYJ;-;-;-;-;2;20;-;-;-;-;-;5.00;162
Devin Funchess;WR;GB;-;-;-;-;3;32;-;-;-;-;-;4.70;163
Steven Mitchell;WR;HOU;-;-;-;-;2;37;-;-;-;-;-;4.70;164
Cam Sims;WR;WAS;-;-;-;-;2;27;-;-;-;-;-;4.70;165
De'Anthony Thomas;WR;BAL;-;-;-;5;1;6;-;-;-;-;3;4.60;166
Ishmael Hyman;WR;CAR;-;-;-;-;2;34;-;-;-;-;-;4.40;167
Andre Roberts;WR;BUF;-;-;-;7;3;20;-;-;-;-;1;4.20;168
C.J. Board;WR;JAX;-;-;-;-;2;31;-;-;-;-;-;4.10;169
Chad Beebe;WR;MIN;-;-;-;-;2;70;-;-;-;-;3;4.00;170
Cody Hollister;WR;TEN;-;-;-;-;2;13;-;-;-;-;-;3.80;171
Robert Davis;WR;PHI;-;-;-;-;2;17;-;-;-;-;-;3.70;172
Marqise Lee;WR;NE;-;-;-;1;3;18;-;-;-;-;-;3.40;173
Gunner Olszewski;WR;NE;-;-;-;-;2;34;-;-;-;-;1;3.40;174
Diontae Spencer;WR;DEN;-;-;-;6;6;31;-;-;-;-;3;2.70;175
Darvin Kidsy;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;2.50;176
Rashard Davis;WR;TEN;-;-;-;-;1;16;-;-;-;-;-;2.10;177
Jeff Smith;WR;NYJ;-;-;-;-;1;12;-;-;-;-;-;1.70;178
John Ursua;WR;SEA;-;-;-;-;1;11;-;-;-;-;-;1.60;179
Gehrig Dieter;WR;KC;-;-;-;-;-;-;-;-;-;-;-;1.50;180
Jaleel Scott;WR;BAL;-;-;-;-;1;6;-;-;-;-;-;1.10;181
Jalen Guyton;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;1.00;182
Krishawn Hogan;WR;NO;-;-;-;-;1;4;-;-;-;-;-;0.90;183
Cyril Grayson;WR;TB;-;-;-;-;1;3;-;-;-;-;-;0.80;184
Michael Walker;WR;JAX;-;-;-;-;2;15;-;-;-;-;2;0.50;185
Rodney Adams;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;186
Bralon Addison;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;187
Quincy Adeboyejo;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;188
Brandon Aiyuk;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;189
Tavon Austin;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;190
Andre Baccellia;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;191
Alex Bachman;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;192
Manasseh Bailey;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;193
Cameron Batson;WR;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;194
Omar Bayless;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;195
