PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Reggie Begelton;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;196
Trinity Benson;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;197
Justin Blackmon;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;198
Saeed Blacknall;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;199
Victor Bolden;WR;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;200
Lynn Bowden;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;201
Ja'Marcus Bradley;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;202
Jermiah Braswell;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;203
Antonio Brown;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;204
Jaron Brown;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;205
Noah Brown;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;206
Tony Brown;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;207
Emmanuel Butler;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;208
Hakeem Butler;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;209
Dylan Cantrell;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;210
Austin Carr;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;211
Quintez Cephus;WR;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;212
Jehu Chesson;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;213
Dan Chisena;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;214
Chase Claypool;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;215
Tyrie Cleveland;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;216
Keelan Cole;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;217
Matt Cole;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;218
Corey Coleman;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;219
Amari Cooper;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;220
Jeff Cotton;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;221
Isaiah Coulter;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;222
River Cracraft;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;223
Jamal Custis;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;224
Amara Darboh;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;225
Davion Davis;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;226
Felton Davis;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;227
Gabriel Davis;WR;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;228
Quartney Davis;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;229
Reggie Davis;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;230
Trevor Davis;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;231
Seth Dawkins;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;232
Derrick Dillon;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;233
Johnnie Dixon;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;234
Josh Doctson;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;235
Devin Duvernay;WR;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;236
Nick Easley;WR;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;237
Bryan Edwards;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;238
Earnest Edwards;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;239
Amba Etta-Tawo;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;240
Maurice French;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;241
Chris Finke;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;242
Jody Fortson;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;243
Daurice Fountain;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;244
Travis Fulgham;WR;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;245
Aaron Fuller;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;246
Taylor Gabriel;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;247
Antonio Gandy-Golden;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;248
Antonio Gibson;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;249
Shelton Gibson;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;250
Terry Godwin;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;251
Josh Gordon;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;252
Ryan Grant;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;253
Devin Gray;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;254
A.J. Green;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;255
Juwan Green;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;256
Marcus Green;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;257
Emanuel Hall;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;258
K.J. Hamler;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;259
Josh Hammond;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;260
Chad Hansen;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;261
Justin Hardy;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;262
De'Michael Harris;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;263
Dwayne Harris;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;264
Maurice Harris;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;265
Penny Hart;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;266
Will Hastings;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;267
Keon Hatcher;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;268
Quadree Henderson;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;269
Malik Henry;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;270
Cole Herdman;WR;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;271
Aleva Hifo;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;272
Rashard Higgins;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;273
Tee Higgins;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;274
John Hightower;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;275
TreVontae Hights;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;276
K.J. Hill;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;277
Kendall Hinton;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;278
Isaiah Hodgins;WR;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;279
Chris Hogan;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;280
Johnny Holton;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;281
Bug Howard;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;282
Lil'Jordan Humphrey;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;283
Jalen Hurd;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;284
John Hurst;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;285
Dontrelle Inman;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;286
Trenton Irwin;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;287
Steve Ishmael;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;288
Thomas Ives;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;289
Trishton Jackson;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;290
Damion Jeanpiere;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;291
Justin Jefferson;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;292
Van Jefferson;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;293
Gary Jennings;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;294
Jauan Jennings;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;295
Jerry Jeudy;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;296
Anthony Johnson;WR;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;297
Collin Johnson;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;298
Jon'Vea Johnson;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;299
Juwan Johnson;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;300
Marcus Johnson;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;301
Tyler Johnson;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;302
Tyron Johnson;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;303
Andy Jones;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;304
Travis Jonsen;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;305
Jermaine Kearse;WR;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;306
Marcus Kemp;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;307
Tom Kennedy;WR;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;308
Keith Kirkwood;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;309
J.J. Koski;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;310
CeeDee Lamb;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;311
Shane Leatherbury;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;312
Lance Lenoir;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;313
Tommylee Lewis;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;314
Kalija Lipscomb;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;315
DaMarkus Lodge;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;316
Ricardo Louis;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;317
Austin Mack;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;318
Josh Malone;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;319
Zimari Manning;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;320
Jordan Matthews;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;321
Jalen McCleskey;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;322
Kelvin McKnight;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;323
Rashad Medaris;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;324
Kirk Merritt;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;325
Marken Michel;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;326
Jaydon Mickens;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;327
Denzel Mims;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;328
Bryant Mitchell;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;329
Dillon Mitchell;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;330
Sean Modster;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;331
D.J. Montgomery;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;332
Darnell Mooney;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;333
David Moore;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;334
J'Mon Moore;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;335
JoJo Natson;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;336
K.J. Osborn;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;337
Aaron Parker;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;338
Dezmon Patmon;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;339
Charone Peake;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;340
Josh Pearson;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;341
Donovan Peoples-Jones;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;342
Malcolm Perry;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;343
Devin Phelps;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;344
De'Mornay Pierson-El;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;345
Michael Pittman;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;346
Shawn Poindexter;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;347
Brandon Polk;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;348
Brandon Powell;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;349
James Proche;WR;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;350
Anthony Ratliff-Williams;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;351
Jalen Reagor;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;352
Joe Reed;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;353
A.J. Richardson;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;354
Paul Richardson;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;355
Sean Riley;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;356
Chester Rogers;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;357
Kendrick Rogers;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;358
Devin Ross;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;359
Marvelle Ross;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;360
Chris Rowland;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;361
Henry Ruggs III;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;362
Spencer Schnell;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;363
Dalton Schoen;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;364
Artavis Scott;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;365
Justice Shelton-Mosley;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;366
Laviska Shenault Jr.;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;367
Russell Shepard;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;368
David Sills;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;369
Tyler Simmons;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;370
Equanimeous St. Brown;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;371
Darrell Stewart;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;372
Freddie Swain;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;373
Khalil Tate;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;374
Malik Taylor;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;375
Taywan Taylor;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;376
Trent Taylor;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;377
Demaryius Thomas;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;378
Jeff Thomas;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;379
Chris Thompson;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;380
Cody Thompson;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;381
Trevion Thompson;WR;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;382
Malik Turner;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;383
Jordan Veasy;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;384
Ben Victor;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;385
JoJo Ward;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;386
Scotty Washington;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;387
Quez Watkins;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;388
Jester Weah;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;389
Nsimba Webster;WR;LA;-;-;-;-;-;-;-;-;-;-;1;0.00;390
Alex Wesley;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;391
Antoine Wesley;WR;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;392
Cody White;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;393
Reggie White Jr.;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;394
Tim White;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;395
Isaac Whitney;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;396
Chad Williams;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;397
Juwann Winfree;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;398
Easop Winston;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;399
Jarius Wright;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;400
Terry Wright;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;401
Isaiah Zuber;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;402
Darrius Shepherd;WR;GB;-;-;-;-;1;1;-;-;-;-;1;-0.40;403
Quincy Enunwa;WR;NYJ;-;-;-;-;1;-4;-;-;-;-;1;-1.90;404
Greg Dortch;WR;LA;-;-;-;-;-;-;-;-;-;-;1;-2.00;405
Ray-Ray McCloud;WR;BUF;-;-;-;-;-;-;-;-;-;-;3;-4.00;406
