Pick,Round,PlayerName,Pos/Team,KeeperValue
1,1,Stefon Diggs,WR - MIN,1
2,1,Josh Jacobs,RB - OAK,1
3,1,Odell Beckham,WR - CLE,1
4,1,Travis Kelce,TE - KC,1
5,1,Melvin Gordon,RB - LAC,1
6,1,David Johnson,RB - ARI,1
7,1,Michael Thomas,WR - NO,1
8,1,Antonio Brown,WR,1
9,1,Julio Jones,WR - ATL,1
10,1,Todd Gurley,RB - LA,1
11,1,DeAndre Hopkins,WR - HOU,1
12,1,Saquon Barkley,RB - NYG,1
13,2,Ezekiel Elliott,RB - DAL,1
14,2,Amari Cooper,WR - DAL,1
15,2,Le'Veon Bell,RB - NYJ,1
16,2,Brandin Cooks,WR - LA,1
17,2,Leonard Fournette,RB - JAX,1
18,2,Devonta Freeman,RB - ATL,1
19,2,Christian McCaffrey,RB - CAR,1
20,2,Keenan Allen,WR - LAC,1
21,2,David Montgomery,RB - CHI,1
22,2,Davante Adams,WR - GB,1
23,2,Chris Godwin,WR - TB,1
24,2,Dalvin Cook,RB - MIN,1
25,3,Tyler Boyd,WR - CIN,1
26,3,Kenny Golladay,WR - DET,1
27,3,Derrick Henry,RB - TEN,1
28,3,Mark Ingram,RB - BAL,1
29,3,Robert Woods,WR - LA,1
30,3,Tyreek Hill,WR - KC,1
31,3,Cooper Kupp,WR - LA,1
32,3,Deshaun Watson,QB - HOU,1
33,3,T.Y. Hilton,WR - IND,1
34,3,Mike Evans,WR - TB,1
35,3,Calvin Ridley,WR - ATL,1
36,3,Joe Mixon,RB - CIN,1
37,4,Robby Anderson,WR - NYJ,2
38,4,Duke Johnson,RB - HOU,2
39,4,Mike Williams,WR - LAC,2
40,4,Phillip Lindsay,RB - DEN,2
41,4,Zach Ertz,TE - PHI,2
42,4,Aaron Rodgers,QB - GB,2
43,4,Alshon Jeffery,WR - PHI,2
44,4,Miles Sanders,RB - PHI,2
45,4,Adrian Peterson,RB - WAS,2
46,4,Tarik Cohen,RB - CHI,2
47,4,Christian Kirk,WR - ARI,2
48,4,Evan Engram,TE - NYG,2
49,5,Dede Westbrook,WR - JAX,2
50,5,Hunter Henry,TE - LAC,2
51,5,O.J. Howard,TE - TB,2
52,5,Allen Robinson,WR - CHI,2
53,5,Austin Ekeler,RB - LAC,2
54,5,D.J. Moore,WR - CAR,2
55,5,Tevin Coleman,RB - SF,2
56,5,Latavius Murray,RB - NO,2
57,5,Chris Carson,RB - SEA,2
58,5,Jarvis Landry,WR - CLE,2
59,5,Darius Leonard,LB - IND,2
60,5,Bobby Wagner,LB - SEA,2
61,6,Josh Gordon,WR - SEA,3
62,6,Kerryon Johnson,RB - DET,3
63,6,Jared Cook,TE - NO,3
64,6,Sammy Watkins,WR - KC,3
65,6,A.J. Green,WR - CIN,3
66,6,Kenyan Drake,RB - ARI,3
67,6,Aaron Donald,DL - LA,3
68,6,Curtis Samuel,WR - CAR,3
69,6,Adam Thielen,WR - MIN,3
70,6,Deion Jones,LB - ATL,3
71,6,Darrell Henderson,RB - LA,3
72,6,Leighton Vander Esch,LB - DAL,3
73,7,Derrius Guice,RB - WAS,3
74,7,Marquez Valdes-Scantling,WR - GB,3
75,7,Luke Kuechly,LB - CAR,3
76,7,Larry Fitzgerald,WR - ARI,3
77,7,J.J. Watt,DL - HOU,3
78,7,Joey Bosa,DL - LAC,3
79,7,Corey Davis,WR - TEN,3
80,7,Will Fuller,WR - HOU,3
81,7,Marvin Jones,WR - DET,3
82,7,James White,RB - NE,3
83,7,Vance McDonald,TE - PIT,3
84,7,Devin Singletary,RB - BUF,3
85,8,Matt Ryan,QB - ATL,4
86,8,Myles Garrett,DL - CLE,4
87,8,Courtland Sutton,WR - DEN,4
88,8,David Njoku,TE - CLE,4
89,8,Tremaine Edmunds,LB - BUF,4
90,8,C.J. Mosley,LB - NYJ,4
91,8,Emmanuel Sanders,WR - SF,4
92,8,Blake Martinez,LB - GB,4
93,8,Calais Campbell,DL - JAX,4
94,8,Baker Mayfield,QB - CLE,4
95,8,Roquan Smith,LB - CHI,4
96,8,Cory Littleton,LB - LA,4
97,9,Sterling Shepard,WR - NYG,4
98,9,Danielle Hunter,DL - MIN,4
99,9,Julian Edelman,WR - NE,4
100,9,Jaylon Smith,LB - DAL,4
101,9,Keke Coutee,WR - HOU,4
102,9,Kwon Alexander,LB - SF,4
103,9,Lavonte David,LB - TB,4
104,9,Akiem Hicks,DL - CHI,4
105,9,Demarcus Lawrence,DL - DAL,4
106,9,Matt Breida,RB - SF,4
107,9,DeForest Buckner,DL - SF,4
108,9,Michael Gallup,WR - DAL,4
109,10,Jamison Crowder,WR - NYJ,5
110,10,Myles Jack,LB - JAX,5
111,10,Cameron Jordan,DL - NO,5
112,10,Jared Goff,QB - LA,5
113,10,Shawn Williams,DB - CIN,5
114,10,LeSean McCoy,RB - KC,5
115,10,Jamal Adams,DB - NYJ,5
116,10,Joe Schobert,LB - CLE,5
117,10,John Johnson,DB - LA,5
118,10,Landon Collins,DB - WAS,5
119,10,Anthony Miller,WR - CHI,5
120,10,Lamar Jackson,QB - BAL,5
121,11,Alvin Kamara,RB - NO,5
122,11,Keanu Neal,DB - ATL,5
123,11,Budda Baker,DB - ARI,5
124,11,Chandler Jones,DL - ARI,5
125,11,Geronimo Allison,WR - GB,5
126,11,Devin Bush,LB - PIT,5
127,11,JuJu Smith-Schuster,WR - PIT,5
128,11,Nick Vigil,LB - CIN,5
129,11,Danny Trevathan,LB - CHI,5
130,11,Harrison Smith,DB - MIN,5
131,11,Devin White,LB - TB,5
132,11,Khalil Mack,LB - CHI,5
133,12,Austin Hooper,TE - ATL,6
134,12,Tyrell Williams,WR - OAK,6
135,12,Zach Cunningham,LB - HOU,6
136,12,Tyrann Mathieu,DB - KC,6
137,12,Dante Fowler,DL - LA,6
138,12,Antoine Bethea,DB - NYG,6
139,12,Reshad Jones,DB - MIA,6
140,12,Jadeveon Clowney,LB - SEA,6
141,12,Malcolm Jenkins,DB - PHI,6
142,12,Trey Flowers,DL - DET,6
143,12,Demario Davis,LB - NO,6
144,12,Dante Pettis,WR - SF,6
145,13,Sony Michel,RB - NE,6
146,13,Tyler Lockett,WR - SEA,6
147,13,Carlos Dunlap,DL - CIN,6
148,13,Lorenzo Alexander,LB - BUF,6
149,13,Marquise Goodwin,WR - SF,6
150,13,Jordan Howard,RB - PHI,6
151,13,Frank Clark,DL - KC,6
152,13,Nick Chubb,RB - CLE,6
153,13,Marlon Mack,RB - IND,6
154,13,Damon Harrison,DL - DET,6
155,13,Justin Reid,DB - HOU,6
156,13,Jordan Poyer,DB - BUF,6
157,14,Kevin Byard,DB - TEN,7
158,14,Golden Tate,WR - NYG,7
159,14,Royce Freeman,RB - DEN,7
160,14,Alec Ogletree,LB - NYG,7
161,14,Ha Ha Clinton-Dix,DB - CHI,7
162,14,Cameron Heyward,DL - PIT,7
163,14,Cam Newton,QB - CAR,7
164,14,Alexander Mattison,RB - MIN,7
165,14,Drew Brees,QB - NO,7
166,14,DeSean Jackson,WR - PHI,7
167,14,James Conner,RB - PIT,7
168,14,Kyle Fuller,DB - CHI,7
169,15,Chris Jones,DL - KC,7
170,15,Dee Ford,DL - SF,7
171,15,Rashaad Penny,RB - SEA,7
172,15,Peyton Barber,RB - TB,7
173,15,Aaron Jones,RB - GB,7
174,15,Kalen Ballage,RB - MIA,7
175,15,Bradley McDougald,DB - SEA,7
176,15,Marquise Brown,WR - BAL,7
177,15,Clayton Geathers,DB - IND,7
178,15,Donte Moncrief,WR,7
179,15,Dion Lewis,RB - TEN,7
180,15,Chris Herndon,TE - NYJ,7
181,16,James Washington,WR - PIT,8
182,16,Jessie Bates,DB - CIN,8
183,16,John Brown,WR - BUF,8
184,16,C.J. Anderson,RB,8
185,16,Kenny Stills,WR - HOU,8
186,16,D.K. Metcalf,WR - SEA,8
187,16,Everson Griffen,DL - MIN,8
188,16,Carson Wentz,QB - PHI,8
189,16,Hunter Renfrow,WR - OAK,8
190,16,Jaylen Samuels,RB - PIT,8
191,16,Justice Hill,RB - BAL,8
192,16,Olivier Vernon,DL - CLE,8
193,17,Tony Pollard,RB - DAL,8
194,17,Patrick Mahomes,QB - KC,8
195,17,Carlos Hyde,RB - HOU,8
196,17,Justin Tucker,K - BAL,8
197,17,Greg Olsen,TE - CAR,8
198,17,Delanie Walker,TE - TEN,8
199,17,Greg Zuerlein,K - LA,8
200,17,Kareem Hunt,RB - CLE,8
201,17,Eric Ebron,TE - IND,8
202,17,Russell Wilson,QB - SEA,8
203,17,Ben Roethlisberger,QB - PIT,8
204,17,Devin Funchess,WR - IND,8
205,18,Harrison Butker,K - KC,9
206,18,DeVante Parker,WR - MIA,9
207,18,Malcolm Brown,RB - LA,9
208,18,Wil Lutz,K - NO,9
209,18,Stephen Gostkowski,K - NE,9
210,18,Ito Smith,RB - ATL,9
211,18,Christian Kirksey,LB - CLE,9
212,18,Cole Beasley,WR - BUF,9
213,18,Mohamed Sanu,WR - NE,9
214,18,DaeSean Hamilton,WR - DEN,9
215,18,N'Keal Harry,WR - NE,9
216,18,Jalen Richard,RB - OAK,9
217,19,Deebo Samuel,WR - SF,9
218,19,Darwin Thompson,RB - KC,9
219,19,Anthony Hitchens,LB - KC,9
220,19,Quincy Enunwa,WR - NYJ,9
221,19,Adrian Amos,DB - GB,9
222,19,Rex Burkhead,RB - NE,9
223,19,George Kittle,TE - SF,9
224,19,Tom Brady,QB - NE,9
225,19,Ronald Jones,RB - TB,9
226,19,Paul Richardson,WR - WAS,9
227,19,Justin Jackson,RB - LAC,9
228,19,Kenny Clark,DL - GB,9
229,20,Jameis Winston,QB - TB,10
230,20,Dak Prescott,QB - DAL,10
231,20,Mike Davis,RB - CAR,10
232,20,Justin Houston,DL - IND,10
233,20,Tre'Quan Smith,WR - NO,10
234,20,Adam Humphries,WR - TEN,10
235,20,T.J. Hockenson,TE - DET,10
236,20,Adrian Phillips,DB - LAC,10
237,20,Chris Thompson,RB - WAS,10
238,20,Albert Wilson,WR - MIA,10
239,20,Trey Quinn,WR - WAS,10
240,20,Minkah Fitzpatrick,DB - PIT,10
241,21,Mike Badgley,K - LAC,10
242,21,Darren Waller,TE - OAK,10
243,21,Ka'imi Fairbairn,K - HOU,10
244,21,Melvin Ingram,DL - LAC,10
245,21,Rashard Higgins,WR - CLE,10
246,21,Mecole Hardman,WR - KC,10
247,21,Mitchell Trubisky,QB - CHI,10
248,21,Trey Burton,TE - CHI,10
249,21,Ted Ginn,WR - NO,10
250,21,Ronnie Harrison,DB - JAX,10
251,21,Kyle Rudolph,TE - MIN,10
252,21,Jabaal Sheard,DL - IND,10
253,22,Tyler Eifert,TE - CIN,11
254,22,Nyheim Hines,RB - IND,11
255,22,Kyler Murray,QB - ARI,11
256,22,Frank Gore,RB - BUF,11
257,22,Damien Harris,RB - NE,11
258,22,Giovani Bernard,RB - CIN,11
259,22,Chase Edmonds,RB - ARI,11
260,22,Jamaal Williams,RB - GB,11
261,22,Jordan Reed,TE - WAS,11
262,22,Mark Andrews,TE - BAL,11
263,22,Earl Thomas,DB - BAL,11
264,22,Miles Boykin,WR - BAL,11
265,23,Ty Montgomery,RB - NYJ,11
266,23,Mason Crosby,K - GB,11
267,23,Jayon Brown,LB - TEN,11
268,23,Fred Warner,LB - SF,11
269,23,Zach Brown,LB,11
270,23,Brett Maher,K,11
271,23,Jesper Horsted,TE - CHI,11
272,23,Ryquell Armstead,RB - JAX,11
273,23,Derek Carr,QB - OAK,11
274,23,Matt Gay,K - TB,11
275,23,Damien Williams,RB - KC,11
276,23,Gus Edwards,RB - BAL,11
